slot_id,symbol,day,bucket,month,n,mean_pnl,total_pnl,cumulative_pnl,pct_of_slot_total
677,FDAX,Fri,27,2026-01,23,-1213.0435,-27900.0,-7025.0,111.71
677,FDAX,Fri,27,2026-02,39,-837.8205,-32675.0,-39700.0,130.83
677,FDAX,Fri,27,2026-03,35,287.8571,10075.0,-29625.0,-40.34
677,FDAX,Fri,27,2026-04,22,-309.0909,-6800.0,-36425.0,27.23
677,FDAX,Fri,27,2026-05,49,451.0204,22100.0,-14325.0,-88.49
677,FDAX,Fri,27,2026-06,8,-1784.375,-14275.0,-28600.0,57.16
677,FDAX,Fri,27,2026-07,6,604.1667,3625.0,-24975.0,-14.51
716,NQ,Mon,23,2025-07,95,-91.6842,-8710.0,-8710.0,7.73
716,NQ,Mon,23,2025-08,87,6.092,530.0,-8180.0,-0.47
716,NQ,Mon,23,2025-09,73,-126.5753,-9240.0,-17420.0,8.2
716,NQ,Mon,23,2025-10,56,-159.5536,-8935.0,-26355.0,7.93
716,NQ,Mon,23,2025-11,131,-47.9389,-6280.0,-32635.0,5.58
716,NQ,Mon,23,2025-12,102,-66.3235,-6765.0,-39400.0,6.01
716,NQ,Mon,23,2026-01,110,-43.0455,-4735.0,-44135.0,4.2
716,NQ,Mon,23,2026-02,125,-64.04,-8005.0,-52140.0,7.11
716,NQ,Mon,23,2026-03,236,-10.3178,-2435.0,-54575.0,2.16
716,NQ,Mon,23,2026-04,182,-58.1868,-10590.0,-65165.0,9.4
716,NQ,Mon,23,2026-05,178,-54.3539,-9675.0,-74840.0,8.59
716,NQ,Mon,23,2026-06,138,-206.1594,-28450.0,-103290.0,25.26
716,NQ,Mon,23,2026-07,136,-68.7868,-9355.0,-112645.0,8.3
357,ES,Wed,28,2025-07,552,-43.7274,-24137.5,-24137.5,11.15
357,ES,Wed,28,2025-08,387,-23.385,-9050.0,-33187.5,4.18
357,ES,Wed,28,2025-09,686,-28.8812,-19812.5,-53000.0,9.15
357,ES,Wed,28,2025-10,838,-67.5567,-56612.5,-109612.5,26.16
357,ES,Wed,28,2025-11,278,-23.786,-6612.5,-116225.0,3.05
357,ES,Wed,28,2025-12,807,11.6945,9437.5,-106787.5,-4.36
357,ES,Wed,28,2026-01,875,15.9714,13975.0,-92812.5,-6.46
357,ES,Wed,28,2026-02,495,-70.0,-34650.0,-127462.5,16.01
357,ES,Wed,28,2026-03,717,-6.8515,-4912.5,-132375.0,2.27
357,ES,Wed,28,2026-04,891,-31.0466,-27662.5,-160037.5,12.78
357,ES,Wed,28,2026-05,394,-106.7259,-42050.0,-202087.5,19.43
357,ES,Wed,28,2026-06,121,-46.281,-5600.0,-207687.5,2.59
357,ES,Wed,28,2026-07,263,-33.3175,-8762.5,-216450.0,4.05
675,FDAX,Fri,25,2025-07,31,942.7419,29225.0,29225.0,-17.77
675,FDAX,Fri,25,2025-08,14,116.0714,1625.0,30850.0,-0.99
675,FDAX,Fri,25,2025-09,26,-1321.1538,-34350.0,-3500.0,20.88
675,FDAX,Fri,25,2025-10,42,94.0476,3950.0,450.0,-2.4
675,FDAX,Fri,25,2025-11,12,-525.0,-6300.0,-5850.0,3.83
675,FDAX,Fri,25,2025-12,11,-81.8182,-900.0,-6750.0,0.55
675,FDAX,Fri,25,2026-01,39,899.359,35075.0,28325.0,-21.33
675,FDAX,Fri,25,2026-02,38,-584.2105,-22200.0,6125.0,13.5
675,FDAX,Fri,25,2026-03,156,-1017.1474,-158675.0,-152550.0,96.47
675,FDAX,Fri,25,2026-04,3,-408.3333,-1225.0,-153775.0,0.74
675,FDAX,Fri,25,2026-05,8,-831.25,-6650.0,-160425.0,4.04
675,FDAX,Fri,25,2026-06,8,-443.75,-3550.0,-163975.0,2.16
675,FDAX,Fri,25,2026-07,1,-500.0,-500.0,-164475.0,0.3
718,NQ,Mon,25,2025-07,139,-7.0863,-985.0,-985.0,5.66
718,NQ,Mon,25,2025-08,93,-99.3011,-9235.0,-10220.0,53.03
718,NQ,Mon,25,2025-09,113,-26.7699,-3025.0,-13245.0,17.37
718,NQ,Mon,25,2025-10,59,-9.7458,-575.0,-13820.0,3.3
718,NQ,Mon,25,2025-11,157,54.172,8505.0,-5315.0,-48.84
718,NQ,Mon,25,2025-12,142,30.6338,4350.0,-965.0,-24.98
718,NQ,Mon,25,2026-01,84,-92.7381,-7790.0,-8755.0,44.73
718,NQ,Mon,25,2026-02,124,-41.25,-5115.0,-13870.0,29.37
718,NQ,Mon,25,2026-03,144,-85.1389,-12260.0,-26130.0,70.4
718,NQ,Mon,25,2026-04,168,-47.4702,-7975.0,-34105.0,45.79
718,NQ,Mon,25,2026-05,132,160.7197,21215.0,-12890.0,-121.82
718,NQ,Mon,25,2026-06,89,-165.2247,-14705.0,-27595.0,84.44
718,NQ,Mon,25,2026-07,196,51.9388,10180.0,-17415.0,-58.46
358,ES,Wed,29,2025-07,1009,-1.5981,-1612.5,-1612.5,1.69
358,ES,Wed,29,2025-08,362,-42.1616,-15262.5,-16875.0,15.96
358,ES,Wed,29,2025-09,916,31.441,28800.0,11925.0,-30.12
358,ES,Wed,29,2025-10,1040,-26.6346,-27700.0,-15775.0,28.97
358,ES,Wed,29,2025-11,259,-2.3649,-612.5,-16387.5,0.64
358,ES,Wed,29,2025-12,678,-59.3842,-40262.5,-56650.0,42.1
358,ES,Wed,29,2026-01,1372,5.8491,8025.0,-48625.0,-8.39
358,ES,Wed,29,2026-02,721,-38.2282,-27562.5,-76187.5,28.82
358,ES,Wed,29,2026-03,802,15.9757,12812.5,-63375.0,-13.4
358,ES,Wed,29,2026-04,730,-26.3356,-19225.0,-82600.0,20.1
358,ES,Wed,29,2026-05,305,-46.7623,-14262.5,-96862.5,14.92
358,ES,Wed,29,2026-06,109,1.8349,200.0,-96662.5,-0.21
358,ES,Wed,29,2026-07,293,3.541,1037.5,-95625.0,-1.08
712,NQ,Mon,19,2025-07,321,-26.6511,-8555.0,-8555.0,4.27
712,NQ,Mon,19,2025-08,220,-24.5455,-5400.0,-13955.0,2.7
712,NQ,Mon,19,2025-09,248,19.496,4835.0,-9120.0,-2.42
712,NQ,Mon,19,2025-10,143,-85.2098,-12185.0,-21305.0,6.09
712,NQ,Mon,19,2025-11,300,3.5,1050.0,-20255.0,-0.52
712,NQ,Mon,19,2025-12,409,-44.8655,-18350.0,-38605.0,9.17
712,NQ,Mon,19,2026-01,402,-88.3333,-35510.0,-74115.0,17.74
712,NQ,Mon,19,2026-02,381,65.4724,24945.0,-49170.0,-12.46
712,NQ,Mon,19,2026-03,521,-51.6027,-26885.0,-76055.0,13.43
712,NQ,Mon,19,2026-04,404,-24.4183,-9865.0,-85920.0,4.93
712,NQ,Mon,19,2026-05,316,-227.2785,-71820.0,-157740.0,35.88
712,NQ,Mon,19,2026-06,381,-54.2913,-20685.0,-178425.0,10.33
712,NQ,Mon,19,2026-07,402,-54.1169,-21755.0,-200180.0,10.87
719,NQ,Mon,26,2025-07,118,-86.3559,-10190.0,-10190.0,80.78
719,NQ,Mon,26,2025-08,62,-49.5968,-3075.0,-13265.0,24.38
719,NQ,Mon,26,2025-09,78,-36.4744,-2845.0,-16110.0,22.55
719,NQ,Mon,26,2025-10,80,111.6875,8935.0,-7175.0,-70.83
719,NQ,Mon,26,2025-11,79,-84.0506,-6640.0,-13815.0,52.64
719,NQ,Mon,26,2025-12,127,29.0157,3685.0,-10130.0,-29.21
719,NQ,Mon,26,2026-01,98,15.4592,1515.0,-8615.0,-12.01
719,NQ,Mon,26,2026-02,110,-83.5909,-9195.0,-17810.0,72.89
719,NQ,Mon,26,2026-03,192,61.5104,11810.0,-6000.0,-93.62
719,NQ,Mon,26,2026-04,155,-7.7097,-1195.0,-7195.0,9.47
719,NQ,Mon,26,2026-05,132,13.0682,1725.0,-5470.0,-13.67
719,NQ,Mon,26,2026-06,71,-100.6338,-7145.0,-12615.0,56.64
719,NQ,Mon,26,2026-07,142,0.0,0.0,-12615.0,-0.0
180,CL,Thu,40,2025-07,10,-116.0,-1160.0,-1160.0,4.28
180,CL,Thu,40,2025-08,6,-31.6667,-190.0,-1350.0,0.7
180,CL,Thu,40,2025-09,3,-173.3333,-520.0,-1870.0,1.92
180,CL,Thu,40,2025-10,12,-78.3333,-940.0,-2810.0,3.47
180,CL,Thu,40,2025-11,4,-255.0,-1020.0,-3830.0,3.77
180,CL,Thu,40,2025-12,12,-145.8333,-1750.0,-5580.0,6.46
180,CL,Thu,40,2026-01,9,-174.4444,-1570.0,-7150.0,5.8
180,CL,Thu,40,2026-02,21,-33.3333,-700.0,-7850.0,2.58
180,CL,Thu,40,2026-03,83,-88.5542,-7350.0,-15200.0,27.14
180,CL,Thu,40,2026-04,6,-806.6666,-4840.0,-20040.0,17.87
180,CL,Thu,40,2026-05,22,-171.8182,-3780.0,-23820.0,13.96
180,CL,Thu,40,2026-06,2,-360.0,-720.0,-24540.0,2.66
180,CL,Thu,40,2026-07,8,-317.5,-2540.0,-27080.0,9.38
714,NQ,Mon,21,2025-07,128,-101.4453,-12985.0,-12985.0,31.23
714,NQ,Mon,21,2025-08,137,1.2044,165.0,-12820.0,-0.4
714,NQ,Mon,21,2025-09,78,-44.0385,-3435.0,-16255.0,8.26
714,NQ,Mon,21,2025-10,48,-16.5625,-795.0,-17050.0,1.91
714,NQ,Mon,21,2025-11,191,-2.9058,-555.0,-17605.0,1.33
714,NQ,Mon,21,2025-12,194,-6.7268,-1305.0,-18910.0,3.14
714,NQ,Mon,21,2026-01,126,-138.5317,-17455.0,-36365.0,41.98
714,NQ,Mon,21,2026-02,171,43.6257,7460.0,-28905.0,-17.94
714,NQ,Mon,21,2026-03,307,-24.0554,-7385.0,-36290.0,17.76
714,NQ,Mon,21,2026-04,309,81.4563,25170.0,-11120.0,-60.54
714,NQ,Mon,21,2026-05,174,-35.9483,-6255.0,-17375.0,15.05
714,NQ,Mon,21,2026-06,259,-17.8571,-4625.0,-22000.0,11.12
714,NQ,Mon,21,2026-07,235,-83.2979,-19575.0,-41575.0,47.08
282,ES,Tue,0,2025-07,39,-97.1154,-3787.5,-3787.5,45.63
282,ES,Tue,0,2025-08,12,25.0,300.0,-3487.5,-3.61
282,ES,Tue,0,2025-09,15,-61.6667,-925.0,-4412.5,11.14
282,ES,Tue,0,2025-10,38,-23.6842,-900.0,-5312.5,10.84
282,ES,Tue,0,2025-11,68,-30.6985,-2087.5,-7400.0,25.15
282,ES,Tue,0,2025-12,53,-81.1321,-4300.0,-11700.0,51.81
282,ES,Tue,0,2026-01,58,-50.431,-2925.0,-14625.0,35.24
282,ES,Tue,0,2026-02,59,4.661,275.0,-14350.0,-3.31
282,ES,Tue,0,2026-03,86,12.2093,1050.0,-13300.0,-12.65
282,ES,Tue,0,2026-04,27,-97.2222,-2625.0,-15925.0,31.63
282,ES,Tue,0,2026-05,57,-97.1491,-5537.5,-21462.5,66.72
282,ES,Tue,0,2026-06,9,70.8333,637.5,-20825.0,-7.68
282,ES,Tue,0,2026-07,50,250.5,12525.0,-8300.0,-150.9
854,NQ,Thu,19,2025-07,448,39.1071,17520.0,17520.0,-32.91
854,NQ,Thu,19,2025-08,416,-37.9567,-15790.0,1730.0,29.66
854,NQ,Thu,19,2025-09,121,16.8595,2040.0,3770.0,-3.83
