symbol,day_name,hour_label,hour,account_name,total_trades,total_net_pnl,avg_pnl_trade,std_pnl,wins,win_rate
ES,Thu,02:00,2,ES-TM_2,39,-2637.5,-67.62820512820512,434.8767023982762,26,66.66666666666666
ES,Thu,03:00,3,ES-TM_2,49,-2212.5,-45.1530612244898,560.702082252703,36,73.46938775510205
ES,Thu,04:00,4,ES-TS_6,34,7087.5,208.4558823529412,526.3035817053353,31,91.17647058823529
ES,Thu,05:00,5,ES-IPS_TM_3,13,975.0,75.0,785.0490961292379,10,76.92307692307693
ES,Thu,06:00,6,ES-TS_6,32,-2337.5,-73.046875,591.5066650754064,25,78.125
ES,Thu,07:00,7,ES-TS_6,63,3412.5,54.166666666666664,518.9017947363886,49,77.77777777777779
ES,Thu,08:00,8,ES-TS_6,105,-2162.5,-20.595238095238095,520.1353748306138,77,73.33333333333333
ES,Thu,09:00,9,ES-TS_2,155,3162.5,20.403225806451612,623.3680306311059,118,76.12903225806451
ES,Thu,10:00,10,ES-TS_6,730,8587.5,11.763698630136986,398.9490402874114,572,78.35616438356165
ES,Thu,11:00,11,ES-TS_7,41,18400.0,448.780487804878,1269.617329398806,35,85.36585365853658
ES,Thu,12:00,12,ES-TS_2,291,26637.5,91.53780068728523,782.9726303936111,219,75.25773195876289
ES,Thu,13:00,13,ES-TS_6,490,61850.0,126.22448979591837,861.0024301214822,376,76.73469387755102
ES,Thu,14:00,14,ES-TS_7,12,12.5,1.0416666666666667,455.81652301284026,9,75.0
ES,Thu,15:00,15,ES-TS_6,615,36200.0,58.86178861788618,558.0822951235292,447,72.6829268292683
ES,Thu,16:00,16,ES-TS_2,83,3400.0,40.963855421686745,468.5388274454732,54,65.06024096385542
ES,Thu,18:00,18,ES-TS_4,13,-662.5,-50.96153846153846,393.88098147042155,9,69.23076923076923
ES,Thu,19:00,19,ES-TM_9,10,4225.0,422.5,507.36930446284504,9,90.0
ES,Thu,20:00,20,ES-TS_6,24,112.5,4.6875,1265.3933295748832,17,70.83333333333334
ES,Thu,21:00,21,ES-TM_7,16,2212.5,138.28125,627.5691985417491,14,87.5
ES,Thu,22:00,22,ES-IPS_TM_12,10,1812.5,181.25,399.27234161381347,6,60.0
ES,Thu,23:00,23,ES-PB_1,27,4225.0,156.4814814814815,482.7476742062741,18,66.66666666666666
ES,Tue,00:00,0,ES-TM_7,43,-275.0,-6.395348837209302,519.3600980114117,29,67.44186046511628
ES,Tue,01:00,1,ES-TS_5,14,2762.5,197.32142857142858,353.62744450267786,12,85.71428571428571
ES,Tue,02:00,2,ES-TM_7,12,50.0,4.166666666666667,574.8352860260111,9,75.0
ES,Tue,03:00,3,ES-IPS_TM_6,32,4737.5,148.046875,578.2264786699765,27,84.375
