symbol,day_name,hour_label,hour,account_name,total_trades,total_net_pnl,total_gross_pnl,avg_pnl_trade,std_pnl,wins,win_rate
NQ,Wed,21:00,21,TM_D-R-1_2,319,5980.0,8095.0,18.75,486.2303137681256,224,70.2
NQ,Wed,22:00,22,IPS_TM_7,34,4030.0,4210.0,118.53,576.6275903012387,26,76.5
NQ,Wed,23:00,23,TM_D-R-1_2,300,4331.5,6190.0,14.44,515.6917201176318,226,75.3
ZB,Fri,00:00,0,TM_7,3,236.5,250.0,78.83,18.042195912175806,3,100.0
ZB,Fri,01:00,1,IPS_TM_10,3,111.5,125.0,37.17,65.05206248331665,2,66.7
ZB,Fri,02:00,2,IPS_TM_10,2,49.0,62.5,24.5,47.37615433949868,1,50.0
ZB,Fri,03:00,3,IPS_TM_10,4,35.5,62.5,8.88,62.199109050425044,2,50.0
ZB,Fri,04:00,4,IPS_TM_8,3,1299.0,1312.5,433.0,330.7189138830738,3,100.0
ZB,Fri,05:00,5,TM_5,4,209.5,250.0,52.38,185.8337630787258,2,50.0
ZB,Fri,06:00,6,TS_7,1,-294.75,-281.25,-294.75,143.20549046737,0,0.0
ZB,Fri,07:00,7,TM_5,1,-107.25,-93.75,-107.25,132.6276115042917,0,0.0
ZB,Fri,08:00,8,IPS_TM_5,12,579.5,687.5,48.29,302.22314215082065,8,66.7
ZB,Fri,09:00,9,TS_2,6,22.0,62.5,3.67,128.96062060437933,4,66.7
ZB,Fri,10:00,10,IPS_TM_10,9,553.25,593.75,61.47,28.99877272307303,9,100.0
ZB,Fri,11:00,11,IPS_TM_5dupli,4,-27.0,0.0,-6.75,131.98974076293456,3,75.0
ZB,Fri,12:00,12,IPS_TM_11,4,1160.5,1187.5,290.12,145.46613294280334,4,100.0
ZB,Fri,13:00,13,IPS_TM_10,2,-44.75,-31.25,-22.38,69.4732412515783,1,50.0
ZB,Fri,14:00,14,PB_1,1,-71.5,-62.5,-71.5,0.0,0,0.0
ZB,Fri,15:00,15,TS_2,1,-107.25,-93.75,-107.25,142.8278465496137,0,0.0
ZB,Fri,16:00,16,TM_1,1,-4.5,0.0,-4.5,108.25317547305482,0,0.0
ZB,Mon,00:00,0,PB_2,1,-71.5,-62.5,-71.5,,0,0.0
ZB,Mon,01:00,1,IPS_TM_10,2,-76.0,-62.5,-38.0,135.7645019878171,1,50.0
ZB,Mon,02:00,2,IPS_TM_5dupli,5,316.75,343.75,63.35,14.609072523606693,5,100.0
ZB,Mon,03:00,3,IPS_TM_11,2,861.5,875.0,430.75,350.3714100779343,2,100.0
ZB,Mon,04:00,4,IPS_TM_10,6,281.0,312.5,46.83,71.02845673859645,4,66.7
ZB,Mon,05:00,5,IPS_TM_8,4,1272.0,1312.5,318.0,220.35794744006853,4,100.0
ZB,Mon,06:00,6,TM_7,2,392.75,406.25,196.38,63.109280220899365,2,100.0
ZB,Mon,07:00,7,IPS_TM_11,3,129.25,156.25,43.08,294.00598775081664,2,66.7
ZB,Mon,08:00,8,TM_8,10,1530.5,1625.0,153.05,79.99069390317295,9,90.0
ZB,Mon,09:00,9,IPS_TM_10,8,606.5,687.5,75.81,287.94560963338694,5,62.5
ZB,Mon,10:00,10,IPS_TM_5,5,834.5,875.0,166.9,229.01648412286835,4,80.0
ZB,Mon,11:00,11,IPS_TM_10,8,138.0,187.5,17.25,65.51104050899687,5,62.5
ZB,Mon,12:00,12,TS_2,3,174.0,187.5,58.0,31.25,3,100.0
ZB,Mon,13:00,13,IPSTMUD1,2,116.0,125.0,58.0,44.19417382415922,2,100.0
ZB,Mon,14:00,14,IPSTMUD1,3,174.0,187.5,58.0,31.25,3,100.0
ZB,Mon,15:00,15,TS_2,1,-201.0,-187.5,-201.0,130.7649038138462,0,0.0
ZB,Mon,16:00,16,TM_7,1,-201.0,-187.5,-201.0,,0,0.0
ZB,Mon,18:00,18,IPS_TM_10,1,26.75,31.25,26.75,25.279067427419076,1,100.0
ZB,Mon,20:00,20,PB_3,1,-71.5,-62.5,-71.5,25.51551815399144,0,0.0
ZB,Mon,21:00,21,TS_2,2,-40.25,-31.25,-20.12,22.09708691207961,0,0.0
ZB,Mon,22:00,22,IPS_TM_8,2,-120.75,-93.75,-60.38,464.03882515367184,1,50.0
ZB,Mon,23:00,23,TS_2,1,-294.75,-281.25,-294.75,,0,0.0
ZB,Sun,17:00,17,TM_8,2,361.5,375.0,180.75,3.181980515339464,2,100.0
ZB,Sun,18:00,18,IPS_TM_10,14,588.75,656.25,42.05,79.28430939998763,12,85.7
ZB,Sun,19:00,19,TS_2,1,58.0,62.5,58.0,0.0,1,100.0
ZB,Sun,20:00,20,IPS_TM_11,1,736.5,750.0,736.5,3.181980515339464,1,100.0
ZB,Sun,21:00,21,IPS_TM_5,1,736.5,750.0,736.5,382.0144385360323,1,100.0
ZB,Sun,22:00,22,IPS_TM_3,2,22.25,31.25,11.12,22.09708691207961,1,50.0
ZB,Thu,00:00,0,PB_2,1,-71.5,-62.5,-71.5,178.43924035928868,0,0.0
ZB,Thu,01:00,1,TM_5,2,-214.5,-187.5,-107.25,265.1650429449553,1,50.0
ZB,Thu,02:00,2,IPS_TM_10,3,200.75,218.75,66.92,117.34466682952973,2,66.7
ZB,Thu,03:00,3,TM_7,3,205.25,218.75,68.42,18.042195912175806,3,100.0
ZB,Thu,04:00,4,IPS_TM_5dupli,8,459.5,500.0,57.44,81.35479505580128,7,87.5
ZB,Thu,05:00,5,TM_8,1,-107.25,-93.75,-107.25,132.58252147247765,0,0.0
ZB,Thu,06:00,6,IPS_TM_11,2,611.5,625.0,305.75,173.59471478129743,2,100.0
ZB,Thu,07:00,7,TM_7,5,115.75,156.25,23.15,72.93053201506211,4,80.0
ZB,Thu,08:00,8,IPS_TM_11,5,1053.25,1093.75,210.65,324.7933766258173,4,80.0
ZB,Thu,09:00,9,TS_4,7,1084.5,1125.0,154.93,182.00387554743367,7,100.0
ZB,Thu,10:00,10,IPS_TM_5,2,486.5,500.0,243.25,85.20636713297898,2,100.0
ZB,Thu,11:00,11,IPSTMUD1,2,111.5,125.0,55.75,3.181980515339464,2,100.0
ZB,Thu,12:00,12,TS_5,1,267.75,281.25,267.75,72.0736230729186,1,100.0
ZB,Thu,13:00,13,IPS_TM_10,1,361.5,375.0,361.5,66.29126073623883,1,100.0
ZB,Thu,14:00,14,PB_2,1,-71.5,-62.5,-71.5,44.19417382415922,0,0.0
ZB,Thu,15:00,15,IPS_TM_6,3,17.75,31.25,5.92,18.042195912175806,1,33.3
ZB,Thu,16:00,16,TM_8,1,-201.0,-187.5,-201.0,,0,0.0
