symbol,account_name,total_trades,total_gross_pnl,mean_pnl,std_pnl,win_rate,t_stat,est_total_comm,total_net_pnl,net_mean_pnl
CL,TM_10,241,-10.0,-0.04,496.686927459847,67.63,-0.0,1084.5,-1094.5,-4.54
NQ,IPS_TM_4,3,-1380.0,-460.0,120.31209415515964,0.0,-6.62,13.5,-1393.5,-464.5
NQ,A_sim19,485,705.0,1.45,202.12584148966232,44.12,0.16,2182.5,-1477.5,-3.05
NQ,TM_4,3,-1725.0,-575.0,108.51267207105353,0.0,-9.18,13.5,-1738.5,-579.5
NQ,A_sim8,226,-960.0,-4.25,165.7048530623557,57.52,-0.39,1017.0,-1977.0,-8.75
NQ,3Q_sim14,413,-440.0,-1.07,180.12456069670688,38.26,-0.12,1858.5,-2298.5,-5.57
NQ,IPS_TM_2,60,-2620.0,-43.67,344.0682168598363,61.67,-0.98,270.0,-2890.0,-48.17
CL,IPSPB1,102,-3150.0,-30.88,396.1200423085788,55.88,-0.79,459.0,-3609.0,-35.38
NQ,ES-TM_9,1370,2450.0,1.79,412.9644107407446,54.23,0.16,6165.0,-3715.0,-2.71
NQ,A_sim13,283,-2460.0,-8.69,160.4080153815317,53.71,-0.91,1273.5,-3733.5,-13.19
NQ,TS_1,42,-4280.0,-101.9,469.14420319492956,57.14,-1.41,189.0,-4469.0,-106.4
NQ,3Q_sim13,325,-3185.0,-9.8,48.62815574195875,34.46,-3.63,1462.5,-4647.5,-14.3
NQ,3Q_sim7,347,-3350.0,-9.65,46.33562224204588,33.14,-3.88,1561.5,-4911.5,-14.15
NQ,V500_sim7,359,-3495.0,-9.74,251.3663769816547,48.47,-0.73,1615.5,-5110.5,-14.24
NQ,A_sim10,385,-3995.0,-10.38,46.01065291078857,32.21,-4.43,1732.5,-5727.5,-14.88
NQ,IPSPB1,806,-2560.0,-3.18,957.8381254223401,58.44,-0.09,3627.0,-6187.0,-7.68
ES,V500_sim13,383,-4987.5,-13.02,23.31819848353525,4.18,-10.93,1723.5,-6711.0,-17.52
ES,V500_sim14,385,-5225.0,-13.57,26.06903323960478,4.42,-10.21,1732.5,-6957.5,-18.07
NQ,A_sim7,588,-4425.0,-7.53,68.36898358989795,35.37,-2.67,2646.0,-7071.0,-12.03
NQ,V500_sim8,850,-3275.0,-3.85,310.2233448593082,46.59,-0.36,3825.0,-7100.0,-8.35
NQ,V500_sim9,238,-6120.0,-25.71,197.40648131909768,31.51,-2.01,1071.0,-7191.0,-30.21
NQ,PB_4,1153,-2615.0,-2.27,232.50493608311595,58.8,-0.33,5188.5,-7803.5,-6.77
NQ,A_sim16,679,-6775.0,-9.98,247.59975990330548,46.1,-1.05,3055.5,-9830.5,-14.48
