slot_id,year_month,mean_pnl,n_trades,total_pnl,label,is_holdout
282,2025-04,41.666666666666664,63,2625.0,ES Tue Bkt0,False
282,2025-05,27.1875,40,1087.5,ES Tue Bkt0,False
282,2025-06,-72.32142857142857,14,-1012.5,ES Tue Bkt0,False
282,2025-07,-97.11538461538461,39,-3787.5,ES Tue Bkt0,True
282,2025-08,25.0,12,300.0,ES Tue Bkt0,True
282,2025-09,-61.666666666666664,15,-925.0,ES Tue Bkt0,True
282,2025-10,-23.68421052631579,38,-900.0,ES Tue Bkt0,True
282,2025-11,-30.698529411764707,68,-2087.5,ES Tue Bkt0,True
282,2025-12,-81.13207547169812,53,-4300.0,ES Tue Bkt0,True
282,2026-01,-50.43103448275862,58,-2925.0,ES Tue Bkt0,True
282,2026-02,4.661016949152542,59,275.0,ES Tue Bkt0,True
282,2026-03,12.209302325581396,86,1050.0,ES Tue Bkt0,True
282,2026-04,-97.22222222222223,27,-2625.0,ES Tue Bkt0,True
282,2026-05,-97.14912280701755,57,-5537.5,ES Tue Bkt0,True
282,2026-06,70.83333333333333,9,637.5,ES Tue Bkt0,True
282,2026-07,250.5,50,12525.0,ES Tue Bkt0,True
357,2024-05,59.91379310344828,29,1737.5,ES Wed Bkt28,False
357,2024-06,-175.44483985765123,281,-49300.0,ES Wed Bkt28,False
357,2024-07,-17.919303797468356,316,-5662.5,ES Wed Bkt28,False
357,2024-08,-60.13843648208469,307,-18462.5,ES Wed Bkt28,False
357,2024-09,60.408366533864545,251,15162.5,ES Wed Bkt28,False
357,2024-10,-11.877667140825036,703,-8350.0,ES Wed Bkt28,False
357,2024-11,-25.05091649694501,491,-12300.0,ES Wed Bkt28,False
357,2024-12,481.4441506939855,1513,728425.0,ES Wed Bkt28,False
357,2025-01,-26.569660861594866,1091,-28987.5,ES Wed Bkt28,False
357,2025-02,-36.98665297741273,974,-36025.0,ES Wed Bkt28,False
357,2025-03,-43.19838056680162,1235,-53350.0,ES Wed Bkt28,False
357,2025-04,13.171256454388985,2905,38262.5,ES Wed Bkt28,False
357,2025-05,-1.3290229885057472,696,-925.0,ES Wed Bkt28,False
357,2025-06,4.246031746031746,630,2675.0,ES Wed Bkt28,False
357,2025-07,-43.727355072463766,552,-24137.5,ES Wed Bkt28,True
357,2025-08,-23.385012919896642,387,-9050.0,ES Wed Bkt28,True
357,2025-09,-28.881195335276967,686,-19812.5,ES Wed Bkt28,True
357,2025-10,-67.55668257756564,838,-56612.5,ES Wed Bkt28,True
357,2025-11,-23.785971223021583,278,-6612.5,ES Wed Bkt28,True
357,2025-12,11.69454770755886,807,9437.5,ES Wed Bkt28,True
357,2026-01,15.971428571428572,875,13975.0,ES Wed Bkt28,True
357,2026-02,-70.0,495,-34650.0,ES Wed Bkt28,True
357,2026-03,-6.851464435146443,717,-4912.5,ES Wed Bkt28,True
357,2026-04,-31.046576879910212,891,-27662.5,ES Wed Bkt28,True
357,2026-05,-106.7258883248731,394,-42050.0,ES Wed Bkt28,True
357,2026-06,-46.28099173553719,121,-5600.0,ES Wed Bkt28,True
357,2026-07,-33.31749049429658,263,-8762.5,ES Wed Bkt28,True
358,2024-05,-155.52325581395348,43,-6687.5,ES Wed Bkt29,False
358,2024-06,-86.18035190615836,341,-29387.5,ES Wed Bkt29,False
358,2024-07,-52.84974093264249,386,-20400.0,ES Wed Bkt29,False
358,2024-08,-59.77564102564103,312,-18650.0,ES Wed Bkt29,False
358,2024-09,151.30597014925374,268,40550.0,ES Wed Bkt29,False
358,2024-10,-56.369565217391305,575,-32412.5,ES Wed Bkt29,False
358,2024-11,-29.61572438162544,566,-16762.5,ES Wed Bkt29,False
358,2024-12,489.1953277092797,1541,753850.0,ES Wed Bkt29,False
358,2025-01,7.010439164866811,1389,9737.5,ES Wed Bkt29,False
