NCP Model -- Fold 1
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 12.6162  gate<1.05 -> FAIL
ESS min:   4   gate>400 -> FAIL
Convergence: FAIL

                        mean       sd   hdi_3%   hdi_97%  ess_bulk  ess_tail    r_hat
alpha               -44.9428   0.4208 -45.4960  -44.4312    4.3417    4.0323   7.3647
beta_slot_raw[37]     0.0954   0.2792  -0.1801    0.5213    4.1976   13.8139   9.0979
beta_slot_raw[38]    -0.5062   0.4043  -0.9769    0.0017    4.3476   11.4494   4.7709
beta_slot_raw[39]     0.2191   0.5013  -0.3983    0.8008    4.0604    4.0323  12.3046
beta_slot_raw[40]     0.6036   0.3815   0.0790    0.9995    4.2455   14.2009   4.5888
beta_slot_raw[41]    -0.1448   0.5595  -0.8240    0.5693    4.3709   10.9919   4.6135
beta_slot_raw[42]    -0.0051   0.7825  -0.8952    0.9738    4.0646    4.0323  11.5033
beta_slot_raw[43]     0.1887   0.3549  -0.1364    0.7197    4.2522   14.0489   9.1857
beta_slot_raw[44]     0.1120   0.5993  -0.4621    0.9785    4.2311   20.2491   9.8259
beta_slot_raw[45]    -0.0578   0.5586  -0.6641    0.5855    4.1887   11.9095  10.5807
beta_slot_raw[46]    -0.4311   0.2948  -0.8620   -0.0357    4.1882    4.0323   7.9315
beta_slot_raw[47]    -0.1495   0.5695  -0.9842    0.4889    4.2185   18.6808   5.1123
beta_slot_raw[48]    -0.0893   0.4007  -0.7465    0.3376    4.1947   13.7312   5.3636
beta_slot_raw[49]    -0.0562   0.4884  -0.6408    0.5343    4.3115   14.2219   7.9829
beta_slot_raw[50]    -0.1047   0.6204  -0.8612    0.8266    4.2710   24.3521   9.4645
beta_slot_raw[51]    -0.4285   0.5332  -0.9347    0.4582    4.3397   23.5605   7.0247
beta_slot_raw[52]     0.0787   0.5358  -0.7935    0.5808    4.3564   21.2883   3.7867
beta_slot_raw[53]     0.7233   0.2544   0.3012    0.9388    4.2807   11.6226   4.2890
beta_slot_raw[54]     0.0802   0.3349  -0.3095    0.4628    4.0854    4.0323   9.1005
beta_slot_raw[55]     0.2810   0.4495  -0.3750    0.7894    4.0717    4.0323  10.2931
beta_slot_raw[56]     0.4584   0.2797   0.0392    0.8247    4.0838    4.0323   9.0528
beta_slot_raw[57]     0.2512   0.3440  -0.1797    0.7722    4.0840    4.0323   8.9903
beta_slot_raw[58]     0.3526   0.5213  -0.3999    0.9512    4.2310    4.0323   8.1313
beta_slot_raw[59]     0.1332   0.5002  -0.4258    0.8054    4.3134   22.1390   7.4544
beta_slot_raw[60]    -0.4670   0.4118  -0.9891    0.1266    4.3987    4.0323   3.8400
beta_slot_raw[61]    -0.2156   0.4978  -0.8612    0.5333    4.2953    4.0323   4.1654
beta_slot_raw[62]     0.1234   0.5733  -0.4968    0.8732    4.3473   19.9029   7.3748
beta_slot_raw[63]     0.3067   0.4380  -0.4458    0.6312    4.3458   17.3429   3.8255
