NCP Model -- Fold 2
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 18.6634  gate<1.05 -> FAIL
ESS min:   4   gate>400 -> FAIL
Convergence: FAIL

                       mean       sd   hdi_3%   hdi_97%  ess_bulk   ess_tail    r_hat
alpha              -39.0892   0.3229 -39.5458  -38.7118    4.3214     4.0323   9.4550
beta_slot_raw[162]  -0.2075   0.4913  -0.8012    0.5598    4.0616     4.0323  12.8633
beta_slot_raw[163]   0.0519   0.6131  -0.5916    0.7633    4.0635     4.0323  11.6110
beta_slot_raw[164]  -0.6910   0.1540  -0.8279   -0.4328    4.0749     4.0323  10.2859
beta_slot_raw[165]   0.5215   0.2602   0.1912    0.9037    4.2859     4.0323   4.1719
beta_slot_raw[166]  -0.0158   0.5574  -0.7074    0.8486    4.0763     4.0323   9.9487
beta_slot_raw[167]  -0.3581   0.4684  -0.8822    0.3024    4.3364     4.0323   3.9883
beta_slot_raw[168]   0.0993   0.6064  -0.7483    0.9622    4.1655     4.0323   5.7185
beta_slot_raw[169]   0.2581   0.6922  -0.8564    0.8506    4.3124     4.0323   9.4132
beta_slot_raw[170]  -0.2003   0.3715  -0.7629    0.2390    4.0482     4.0323  16.3628
beta_slot_raw[171]  -0.3691   0.2702  -0.6812    0.0584    4.0678     4.0323  10.8566
beta_slot_raw[172]  -0.1059   0.6795  -0.7977    0.7393    4.0587     4.0323  13.2144
beta_slot_raw[173]  -0.0937   0.4364  -0.4226    0.6456    4.3145     4.0323   4.0348
beta_slot_raw[174]  -0.4301   0.3842  -0.9431    0.0755    4.1600     4.0323  16.9446
beta_slot_raw[175]   0.0349   0.6075  -0.7531    0.9085    4.3231     4.0323   3.9855
beta_slot_raw[176]   0.1720   0.4871  -0.6260    0.6326    4.0517     4.0323  14.8559
beta_slot_raw[177]  -0.0905   0.2065  -0.2975    0.2128    4.0535     4.0323  14.2960
beta_slot_raw[178]   0.1508   0.7144  -0.5646    0.9589    4.0791     4.0323   9.5030
beta_slot_raw[179]   0.4446   0.7414  -0.8375    0.9135    4.0614     4.0323  12.3807
beta_slot_raw[180]   0.1180   0.4934  -0.5872    0.8039    4.0517     4.0323  14.5638
beta_slot_raw[181]  -0.2294   0.1790  -0.4835   -0.0165    4.1639     4.0323  16.3321
beta_slot_raw[182]  -0.2226   0.1396  -0.3880   -0.0115    4.1976    13.6247  13.2720
beta_slot_raw[183]   0.1932   0.5563  -0.3404    0.9906    4.0476     4.0323  16.8488
