NCP Model -- Fold 5
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 1.0178  gate<1.05 -> PASS
ESS min:   314   gate>400 -> FAIL
Convergence: FAIL

                       mean       sd   hdi_3%   hdi_97%   ess_bulk   ess_tail   r_hat
alpha              -37.3589  24.4199 -83.6512   11.0064  1658.2600  1537.8477  1.0011
beta_slot_raw[47]    0.4625   0.3907  -0.3301    1.1524  2490.1496  2633.0850  1.0005
beta_slot_raw[48]   -0.4962   0.4004  -1.2471    0.2335  2496.5993  2031.0637  1.0001
beta_slot_raw[49]    0.7016   0.4019  -0.0443    1.4724  2725.4328  2613.5405  1.0010
beta_slot_raw[50]    0.6038   0.3741  -0.1058    1.2885  2701.9395  2709.2811  0.9995
beta_slot_raw[51]   -0.6030   0.3458  -1.2259    0.0591  1694.6172  2966.1812  1.0008
beta_slot_raw[52]   -0.1908   0.3465  -0.8831    0.4346  2285.8337  2637.5613  1.0008
beta_slot_raw[53]   -0.3337   0.3007  -0.8954    0.2304  1681.3746  2321.7135  1.0014
beta_slot_raw[54]    0.1490   0.3003  -0.4415    0.6873  1606.5003  2430.2405  1.0011
beta_slot_raw[55]   -0.4256   0.2916  -0.9690    0.1208  1443.5536  2263.7787  1.0002
beta_slot_raw[56]   -0.3962   0.3055  -0.9393    0.1980  1534.9931  2271.1874  1.0023
beta_slot_raw[57]   -0.2791   0.3140  -0.8742    0.3218  1975.6725  2799.0150  1.0005
beta_slot_raw[58]   -0.3763   0.3146  -0.9672    0.2259  1789.8600  2523.6570  1.0010
beta_slot_raw[59]    0.1344   0.2994  -0.4448    0.6720  1747.0307  2246.3218  1.0002
beta_slot_raw[60]    1.1397   0.3378   0.4903    1.7551  1879.2022  2091.7620  1.0015
beta_slot_raw[61]    0.0106   0.2894  -0.5291    0.5527  1919.4203  2396.0786  1.0006
beta_slot_raw[62]    0.2040   0.2988  -0.3842    0.7482  1277.3565  2063.3687  1.0016
beta_slot_raw[63]    0.5064   0.2919  -0.0244    1.0520  1504.2860  2468.0777  1.0014
beta_slot_raw[64]    0.6559   0.2554   0.1771    1.1599  1244.1788  1973.9885  1.0019
beta_slot_raw[65]   -0.0101   0.2535  -0.5048    0.4555  1009.2626  2022.5545  1.0014
beta_slot_raw[66]    0.1690   0.2377  -0.2595    0.6496  1013.5249  1502.7971  1.0006
beta_slot_raw[67]    0.0160   0.2359  -0.4301    0.4684  1081.1637  1525.2619  1.0037
beta_slot_raw[68]   -0.1124   0.2406  -0.5461    0.3527  1070.9073  1644.4529  1.0027
beta_slot_raw[69]    0.0314   0.2405  -0.4446    0.4609  1092.2288  2007.4821  1.0031
beta_slot_raw[70]   -0.0341   0.2374  -0.4830    0.4077  1013.0863  1825.1549  1.0026
beta_slot_raw[71]    0.5436   0.2498   0.0320    0.9889  1023.7584  1192.8359  1.0010
beta_slot_raw[72]   -0.3837   0.2390  -0.8485    0.0375  1134.0537  2077.3216  1.0019
beta_slot_raw[73]    0.2949   0.2565  -0.1961    0.7720  1101.0983  1864.8649  1.0011
beta_slot_raw[74]   -0.6336   0.2907  -1.2014   -0.1288   809.2766  1567.3857  1.0034
beta_slot_raw[75]    0.5084   0.2707  -0.0168    0.9894   948.8518  1385.6823  1.0035
beta_slot_raw[76]   -0.0813   0.2503  -0.5230    0.4257   939.4744  1880.3985  1.0016
beta_slot_raw[77]   -0.1323   0.2521  -0.6137    0.3322  1116.7784  1845.2994  1.0009
beta_slot_raw[78]    0.1517   0.3095  -0.3679    0.7501   608.2755  1137.2810  1.0057
beta_slot_raw[79]   -0.2202   0.2872  -0.7262    0.3710   998.0051  1599.7902  1.0018
beta_slot_raw[80]   -1.2441   0.5262  -2.2533   -0.2845  3225.0121  2836.1988  1.0025
beta_slot_raw[81]   -0.2712   0.9071  -1.9181    1.4897  7088.9863  2939.8583  0.9998
beta_slot_raw[82]    0.6091   0.3780  -0.1253    1.2934  2418.5829  2311.9252  1.0012
beta_slot_raw[83]   -1.1766   0.4645  -1.9993   -0.2384  2888.6711  2702.1054  1.0008
beta_slot_raw[84]    0.1034   0.3914  -0.6017    0.8709  2294.6549  2563.3127  1.0005
beta_slot_raw[85]   -0.4003   0.3569  -1.0696    0.2917  1997.6379  2667.0749  1.0011
beta_slot_raw[86]   -0.1315   0.3385  -0.7387    0.5254  1837.7324  2528.9345  1.0013
beta_slot_raw[87]    0.2809   0.3501  -0.3653    0.9378  2419.4459  2467.2105  1.0005
beta_slot_raw[88]   -0.0225   0.3733  -0.7147    0.6993  1741.1035  2575.5553  1.0015
beta_slot_raw[89]   -0.3513   0.3895  -1.1112    0.3486  2800.5979  2606.4793  1.0012
beta_slot_raw[90]    0.3143   0.3902  -0.4551    1.0497  3363.6591  2858.7669  1.0042
beta_slot_raw[91]    1.0573   0.4247   0.2348    1.8322  2196.2980  2111.4771  1.0006
beta_slot_raw[92]   -0.4238   0.4102  -1.1716    0.3648  3112.1105  2517.4093  1.0013
beta_slot_raw[93]    0.1057   0.3866  -0.6432    0.8020  2631.1941  2264.2675  1.0020
beta_slot_raw[94]    1.3169   0.9149  -0.5545    2.9048  7453.5415  2591.7290  1.0004
beta_slot_raw[95]    1.4357   0.9091  -0.3596    3.0424  6675.7885  2442.6247  1.0016
beta_slot_raw[96]   -1.0242   0.9060  -2.6967    0.6621  5117.6907  2630.2944  1.0012
beta_slot_raw[97]   -0.5453   0.8632  -2.1949    0.9890  6513.6216  2718.3511  1.0031
beta_slot_raw[98]    1.3631   0.7225   0.0476    2.7716  6451.1266  3084.3038  1.0004
beta_slot_raw[99]    0.8071   0.6347  -0.3115    2.1063  6002.1176  2684.3575  0.9999
beta_slot_raw[100]  -0.6876   0.4896  -1.5602    0.2342  3942.9336  2645.5434  1.0010
beta_slot_raw[101]  -0.9564   0.4836  -1.9051   -0.0655  4583.7314  3073.8915  1.0004
beta_slot_raw[102]   0.9410   0.4468   0.0811    1.7938  3748.0288  3059.6788  1.0001
beta_slot_raw[103]  -1.0865   0.4892  -2.0202   -0.1929  4972.0758  3245.4160  0.9999
beta_slot_raw[104]   0.8765   0.4842  -0.0985    1.7054  4262.5882  3306.6087  1.0030
beta_slot_raw[105]   0.8319   0.4787  -0.0262    1.7570  4590.6668  2705.8044  1.0005
beta_slot_raw[106]   1.7056   0.4595   0.8092    2.5303  3436.8428  2992.9258  1.0001
beta_slot_raw[107]   0.4443   0.4980  -0.4726    1.3874  4423.5621  2859.1646  1.0006
beta_slot_raw[108]   0.0641   0.4663  -0.8341    0.8886  4265.4521  3242.8882  1.0003
beta_slot_raw[109]   0.4243   0.5091  -0.5142    1.3830  4221.8915  2979.3373  1.0003
beta_slot_raw[110]  -1.2173   0.5077  -2.1512   -0.2487  4164.0986  3363.5387  1.0007
beta_slot_raw[111]   0.0694   0.4580  -0.7562    0.9703  4714.6040  3051.7633  1.0016
beta_slot_raw[112]   0.8037   0.4859  -0.1161    1.7029  4249.2444  3138.2798  1.0004
beta_slot_raw[113]  -0.8785   0.4986  -1.8193    0.0186  4414.6853  2740.5208  1.0002
beta_slot_raw[114]   0.4864   0.4960  -0.4112    1.4520  4423.3738  2833.1574  1.0001
beta_slot_raw[115]   1.5459   0.5325   0.5926    2.5985  5004.8051  3212.0538  1.0009
beta_slot_raw[116]   0.2566   0.5132  -0.7279    1.1931  4625.4537  3089.7926  0.9993
