NCP Model -- Fold 3
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 18.6331  gate<1.05 -> FAIL
ESS min:   4   gate>400 -> FAIL
Convergence: FAIL

                       mean       sd   hdi_3%   hdi_97%  ess_bulk  ess_tail    r_hat
alpha              -38.0507   0.5698 -38.6811  -37.2302    4.0554    4.0323  13.8743
beta_slot_raw[66]    0.0185   0.5736  -0.7046    0.6638    4.3104   13.8890   4.0756
beta_slot_raw[67]    0.0294   0.5642  -0.5259    0.8806    4.1488   11.1139  16.0525
beta_slot_raw[68]    0.5225   0.4145  -0.1067    0.9138    4.2044    4.0323   5.2035
beta_slot_raw[69]    0.3652   0.4810  -0.4152    0.8814    4.0543    4.0323  14.5242
beta_slot_raw[70]    0.2348   0.3540  -0.1851    0.7522    4.0483    4.0323  16.2993
beta_slot_raw[71]   -0.2411   0.4767  -0.7394    0.5068    4.3181    4.0323   4.0461
beta_slot_raw[72]   -0.1158   0.3538  -0.5215    0.3520    4.0832    4.0323   9.4036
beta_slot_raw[73]   -0.6831   0.0961  -0.7552   -0.5178    4.0809    4.0323   9.6660
beta_slot_raw[74]   -0.0827   0.6153  -0.9962    0.5169    4.0762    4.0323  10.2800
beta_slot_raw[75]   -0.2529   0.6032  -0.7372    0.7694    4.1628    4.0323   6.0518
beta_slot_raw[76]   -0.1203   0.3960  -0.6727    0.4234    4.0866    4.0323   8.9068
beta_slot_raw[77]   -0.2181   0.5548  -0.8883    0.3646    4.0746    4.0323  10.0361
beta_slot_raw[78]    0.2529   0.1020   0.1350    0.3778    4.0463    4.0323  18.2584
beta_slot_raw[79]   -0.1340   0.5504  -0.9057    0.6016    4.2962   21.2517   4.4762
beta_slot_raw[80]    0.2996   0.3576  -0.1656    0.7278    4.0831    4.0323   9.5949
beta_slot_raw[81]    0.0290   0.5841  -0.8815    0.7274    4.2192   14.5276   5.0759
beta_slot_raw[82]    0.3164   0.5328  -0.5588    0.8834    4.0547    4.0323  13.9420
beta_slot_raw[83]   -0.0430   0.4292  -0.7316    0.3507    4.0445    4.0323  18.6331
beta_slot_raw[84]    0.0892   0.7345  -0.8752    0.8979    4.1830    4.0323  12.6269
beta_slot_raw[85]   -0.1272   0.5076  -0.6447    0.5065    4.0506    4.0323  15.4582
beta_slot_raw[86]   -0.0061   0.4530  -0.6361    0.5767    4.1727   18.1601   6.1935
beta_slot_raw[87]   -0.0869   0.4828  -0.6339    0.4680    4.1451    4.0323   6.1911
beta_slot_raw[88]    0.5801   0.4158   0.0532    0.9985    4.0782    4.0323   9.6896
beta_slot_raw[89]   -0.1040   0.5957  -0.7188    0.8815    4.0738    4.0323  10.1655
beta_slot_raw[90]   -0.2834   0.3052  -0.5691    0.2087    4.0629    4.0323  12.1473
beta_slot_raw[91]   -0.4299   0.6372  -0.9994    0.5668    4.0878    4.0323   9.4015
beta_slot_raw[92]   -0.4640   0.5086  -0.9845    0.2220    4.0703    4.0323  10.6869
beta_slot_raw[93]    0.1335   0.1851  -0.1803    0.2695    4.0809    4.0323   9.4618
beta_slot_raw[94]    0.1426   0.6868  -0.5830    0.8764    4.3426    4.0323   4.2049
beta_slot_raw[95]   -0.0630   0.7443  -0.9918    0.6872    4.1661   14.9482   6.0586
beta_slot_raw[96]    0.4227   0.4613  -0.1717    0.9621    4.0605    4.0323  12.2065
