NCP Model -- Fold 4
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 31633592.8714  gate<1.05 -> FAIL
ESS min:   4   gate>400 -> FAIL
Convergence: FAIL

                       mean       sd   hdi_3%   hdi_97%  ess_bulk   ess_tail         r_hat
alpha              -33.9274   0.5788 -34.4129  -32.9415    4.0323     4.0323  3.163359e+07
beta_slot_raw[57]   -0.5709   0.1552  -0.7764   -0.3421    4.0323     4.0323  3.163359e+07
beta_slot_raw[58]   -0.1448   0.3213  -0.5008    0.3709    4.0323     4.0323  3.163359e+07
beta_slot_raw[59]    0.0565   0.6366  -0.8059    0.8301    4.0323     4.0323  3.163359e+07
beta_slot_raw[60]    0.0564   0.3018  -0.3421    0.4733    4.0323     4.0323  3.163359e+07
beta_slot_raw[61]    0.0234   0.4739  -0.4623    0.5703    4.0323     4.0323  3.163359e+07
beta_slot_raw[62]   -0.1227   0.4808  -0.6101    0.5123    4.0323     4.0323  3.163359e+07
beta_slot_raw[63]    0.0398   0.2682  -0.2129    0.4915    4.0323     4.0323  3.163359e+07
beta_slot_raw[64]   -0.3150   0.4265  -0.8037    0.3115    4.0323     4.0323  3.163359e+07
beta_slot_raw[65]   -0.0959   0.7790  -0.9226    0.9204    4.0323     4.0323  3.163359e+07
beta_slot_raw[66]   -0.0940   0.4872  -0.8353    0.5101    4.0323     4.0323  3.163359e+07
beta_slot_raw[67]   -0.3061   0.7066  -0.8996    0.8854    4.0323     4.0323  3.163359e+07
beta_slot_raw[68]   -0.4559   0.2630  -0.8170   -0.1194    4.0323     4.0323  3.163359e+07
beta_slot_raw[69]    0.5298   0.4877  -0.2947    0.9574    4.0323     4.0323  3.163359e+07
beta_slot_raw[70]   -0.2459   0.5859  -0.8833    0.6811    4.0323     4.0323  3.163359e+07
beta_slot_raw[71]    0.2323   0.4719  -0.4013    0.9109    4.0323     4.0323  3.163359e+07
beta_slot_raw[72]   -0.1071   0.4331  -0.7011    0.5203    4.0323     4.0323  3.163359e+07
beta_slot_raw[73]   -0.1537   0.5839  -0.6613    0.7669    4.0323     4.0323  3.163359e+07
beta_slot_raw[74]   -0.0349   0.4310  -0.5671    0.4950    4.0323     4.0323  3.163359e+07
beta_slot_raw[75]    0.1278   0.5128  -0.4747    0.9434    4.0323     4.0323  3.163359e+07
beta_slot_raw[76]    0.1027   0.6088  -0.7982    0.8196    4.0323     4.0323  3.163359e+07
beta_slot_raw[77]   -0.1811   0.6282  -0.9234    0.6954    4.0323     4.0323  3.163359e+07
beta_slot_raw[78]    0.3535   0.6128  -0.7068    0.7373    4.0323     4.0323  3.163359e+07
beta_slot_raw[79]   -0.4668   0.4722  -0.9981    0.1629    4.0323     4.0323  3.163359e+07
beta_slot_raw[80]    0.1268   0.6053  -0.9073    0.5773    4.0323     4.0323  3.163359e+07
beta_slot_raw[81]    0.5203   0.5061  -0.3531    0.8788    4.0323     4.0323  3.163359e+07
beta_slot_raw[82]   -0.7225   0.2417  -0.9119   -0.3105    4.0323     4.0323  3.163359e+07
beta_slot_raw[83]   -0.3819   0.5978  -0.9575    0.4491    4.0323     4.0323  3.163359e+07
beta_slot_raw[84]    0.1960   0.6807  -0.6190    0.9348    4.0323     4.0323  3.163359e+07
beta_slot_raw[85]   -0.0984   0.4388  -0.5648    0.6137    4.0323  4000.0000  3.163359e+07
beta_slot_raw[86]    0.3118   0.3884  -0.1504    0.9258    4.0323     4.0323  3.163359e+07
beta_slot_raw[87]   -0.2707   0.6684  -0.7873    0.8698    4.0323     4.0323  3.163359e+07
beta_slot_raw[88]    0.2729   0.1750   0.0720    0.5296    4.0323     4.0323  3.163359e+07
beta_slot_raw[89]    0.3402   0.5241  -0.5632    0.7159    4.0323     4.0323  3.163359e+07
beta_slot_raw[90]    0.4878   0.4423  -0.0755    0.9572    4.0323     4.0323  3.163359e+07
beta_slot_raw[91]   -0.3804   0.6356  -0.9401    0.6772    4.0323     4.0323  3.163359e+07
beta_slot_raw[92]    0.3748   0.6407  -0.6977    0.9318    4.0323     4.0323  3.163359e+07
