ActivityType	DateTime	TransDateTime	ServiceOrderID	OrderType	Quantity	OrderStatus	TradeAccount	BuySell	Price	Price2	FillPrice	FilledQuantity	Note	PositionQuantity	OrderActionSource	InternalOrderID	OpenClose	IsAutomated	Symbol	ParentInternalOrderID	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username
Orders	2026-04-06  18:10:11.187306	2026-04-06  18:10:11.187303	42783334	Limit	1	Filled	TM_6	Sell	24282.2500000		24282.2500000	1	IPS(all)+TM(all+last50)	3	Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24281.50 Ask: 24282.25 Last: 24282.00. Fill based on queue. Text: Tag: IPS(all)+TM(all+last50)	22635364	Close	Y	NQM26		42783334.1			0.00	42783334	22635364.21377	Good till Canceled	shimishon
Positions	2026-04-06  18:10:11.187312	00:00:00.000000			1	Unspecified	TM_6							2	Updated Internal Position Quantity to 2. Previous: 3. Fill of InternalOrderID: 22635364			N	NQM26					0.00				
Fills	2026-04-06  18:10:11.187316	2026-04-06  18:10:15.322000	42783334	Limit	1	Filled	TM_6	Sell	24282.2500000		24282.2500000	1	IPS(all)+TM(all+last50)	2	Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24281.50 Ask: 24282.25 Last: 24282.00. Fill based on queue. Text: Tag: IPS(all)+TM(all+last50)	22635364	Close	Y	NQM26		42783334.1	24288.0000000	24255.5000000	0.00	42783334	22635364.21377	Good till Canceled	shimishon
Positions	2026-04-06  18:10:11.187428	00:00:00.000000				Unspecified	TM_6							2	Updated Service Position Quantity to 2. Previous: 3			N	NQM26					0.00				
Orders	2026-04-06  18:10:11.317380	2026-04-06  18:10:11.317374	42783333	Stop Limit	3	Pending Modify	TM_6	Sell	24245.2500000	24235.2500000			IPS(all)+TM(all+last50)	2	Auto-trade order modification: NQM26 [CBV][M]  Delta 100v #2 | Autotrader V1.3. Requested Price: 24245.25. Requested Quantity: 2	22635363	Close	Y	NQM26					0.00	42783333	22635363.28384	Good till Canceled	shimishon
Orders	2026-04-06  18:10:11.700826	2026-04-06  18:10:11.700822	42783333	Stop Limit	2	Open	TM_6	Sell	24245.2500000	24235.2500000			IPS(all)+TM(all+last50)	2	Trading Evaluator (Cancel/Replace complete). Info: Simulated order modify complete. Text: Tag: IPS(all)+TM(all+last50)	22635363	Close	Y	NQM26					0.00	42783333	22635363.28384	Good till Canceled	shimishon
Orders	2026-04-06  18:10:45.316458	2026-04-06  18:10:45.316452	42783335	Limit	1	Filled	TM_6	Sell	24300.0000000		24300.0000000	1	IPS(all)+TM(all+last50)	2	Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24298.75 Ask: 24300.00 Last: 24299.50. Fill based on queue. Text: Tag: IPS(all)+TM(all+last50)	22635365	Close	Y	NQM26		42783335.1			0.00	42783335	22635365.58336	Good till Canceled	shimishon
Positions	2026-04-06  18:10:45.316480	00:00:00.000000			1	Unspecified	TM_6							1	Updated Internal Position Quantity to 1. Previous: 2. Fill of InternalOrderID: 22635365			N	NQM26					0.00				
Fills	2026-04-06  18:10:45.316486	2026-04-06  18:10:49.793000	42783335	Limit	1	Filled	TM_6	Sell	24300.0000000		24300.0000000	1	IPS(all)+TM(all+last50)	1	Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24298.75 Ask: 24300.00 Last: 24299.50. Fill based on queue. Text: Tag: IPS(all)+TM(all+last50)	22635365	Close	Y	NQM26		42783335.1	24300.0000000	24283.7500000	0.00	42783335	22635365.58336	Good till Canceled	shimishon
Positions	2026-04-06  18:10:45.316786	00:00:00.000000				Unspecified	TM_6							1	Updated Service Position Quantity to 1. Previous: 2			N	NQM26					0.00				
Orders	2026-04-06  18:10:45.482303	2026-04-06  18:10:45.482294	42783333	Stop Limit	2	Pending Cancel	TM_6	Sell	24245.2500000	24235.2500000			IPS(all)+TM(all+last50)	1	Auto-trade canceled order: NQM26 [CBV][M]  Delta 100v #2 | Autotrader V1.3	22635363	Close	Y	NQM26					0.00	42783333	22635363.28384	Good till Canceled	shimishon
Orders	2026-04-06  18:10:45.482712	2026-04-06  18:10:45.482690		Trailing Stop	1	Order Sent	TM_6	Sell	24290.0000000				IPS(all)+TM(all+last50)	1	Auto-trade: NQM26 [CBV][M]  Delta 100v #2 | Autotrader V1.3 | SellEntry | IPS(all)+TM(all+last50) | Bar start date-time: 2026-04-06  14:10:15.836 | Last: 24303 | Scaling out | AOE=false | AOU=false	22635535	Close	Y	NQM26					0.00			Good till Canceled	
Orders	2026-04-06  18:10:45.850501	2026-04-06  18:10:45.850496	42783333	Stop Limit	2	Canceled	TM_6	Sell	24245.2500000	24235.2500000			IPS(all)+TM(all+last50)	1	Trading Evaluator (Canceled). Info: Simulated order canceled. Text: Tag: IPS(all)+TM(all+last50)	22635363	Close	Y	NQM26					0.00	42783333	22635363.28384	Good till Canceled	shimishon
Orders	2026-04-06  18:10:45.850582	2026-04-06  18:10:45.850579	42783746	Trailing Stop	1	Pending Open	TM_6	Sell	24290.0000000				IPS(all)+TM(all+last50)	1	Trading Evaluator (New). Info: Order from DTC client #30027. Sierra Chart. 46.117.230.86 | Client text: Tag: IPS(all)+TM(all+last50). Text: Tag: IPS(all)+TM(all+last50)	22635535	Close	Y	NQM26					0.00		22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:10:45.850607	2026-04-06  18:10:45.850605	42783746	Trailing Stop	1	Open	TM_6	Sell	24290.0000000				IPS(all)+TM(all+last50)	1	Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: IPS(all)+TM(all+last50)	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:10:46.043664	2026-04-06  18:10:46.043662	42783746	Trailing Stop	1	Pending Modify	TM_6	Sell	24290.0000000				IPS(all)+TM(all+last50)	1	Auto trail order modification. Trigger price: 24305.25. Using LastModifyQuantity of 1. Using new provided price. Requested Price: 24292.25. Requested Quantity: 1	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:10:46.380484	2026-04-06  18:10:46.380481	42783746	Trailing Stop	1	Open	TM_6	Sell	24292.2500000				IPS(all)+TM(all+last50)	1	Trading Evaluator (Cancel/Replace complete). Info: Simulated order modify complete. Text: Tag: IPS(all)+TM(all+last50)	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:10:46.630919	2026-04-06  18:10:46.630912	42783746	Trailing Stop	1	Pending Modify	TM_6	Sell	24292.2500000				IPS(all)+TM(all+last50)	1	Auto trail order modification. Trigger price: 24305.50. Using LastModifyQuantity of 1. Using new provided price. Requested Price: 24292.50. Requested Quantity: 1	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:10:46.931157	2026-04-06  18:10:46.931155	42783746	Trailing Stop	1	Open	TM_6	Sell	24292.2500000				IPS(all)+TM(all+last50)	1	Order modification failed | Trading Evaluator (Order cancel/replace reject). Info: Message rate limit reached	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:07.892158	2026-04-06  18:11:07.892154	42783746	Trailing Stop	1	Pending Modify	TM_6	Sell	24292.2500000				IPS(all)+TM(all+last50)	1	Auto trail order modification. Trigger price: 24306.00. Using LastModifyQuantity of 1. Using new provided price. Requested Price: 24293.00. Requested Quantity: 1	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
